id,question,cluster
651,Are there scholarships or financial aid available during admission?,5
652,Are classes at Sitare University conducted online or offline?,3
653,What is the primary mode of teaching at Sitare University?,3
654,Do most classes take place in person at Sitare University?,3
655,Does Sitare University offer a hybrid model with both online and offline classes?,3
656,How many classes are conducted offline at Sitare University?,3
657,Why are most classes conducted offline at Sitare University?,3
658,What facilities are available for offline classes at Sitare University?,3
659,Does Sitare University conduct online classes?,3
660,When are online classes conducted at Sitare University?,3
661,What are the reasons for holding online classes at Sitare University?,3
662,Which subjects or courses are usually taught online?,2
663,How does Sitare University ensure quality in online classes?,3
664,Why does Sitare University have faculty located outside India?,1
665,Do international faculty members only teach online at Sitare University?,3
666,What happens if a faculty member cannot travel to Lucknow?,4
667,How does Sitare University manage classes when faculty are unavailable in person?,3
668,What technology does Sitare University use for online classes?,3
669,Do students need any specific equipment for attending online classes?,0
670,Are there any challenges with conducting online classes at Sitare University?,3
671,Does Sitare University provide resources for students attending online classes?,3
672,Can students choose between online and offline classes at Sitare University?,3
673,How are students informed if a class is online instead of offline?,0
674,What are the advantages of attending online classes at Sitare University?,3
675,What are the disadvantages of online classes at Sitare University?,3
676,Does Sitare University provide laptops to students?,3
677,Are laptops provided as part of the tuition fee at Sitare University?,3
678,Do I need to buy a laptop before joining Sitare University?,3
679,Why doesn’t Sitare University provide laptops to students?,3
680,Is owning a laptop mandatory for all students at Sitare University?,3
681,What are the specifications for the laptop I need to buy for Sitare University?,3
682,Are there any recommended laptop brands or models for Sitare University students?,3
683,Do students need a high-performance laptop for their studies at Sitare University?,3
684,Will Sitare University provide guidelines for buying a laptop?,3
685,Can I use a second-hand laptop at Sitare University?,3
686,Why is it important to have a laptop at Sitare University?,3
687,How are laptops used for academic purposes at Sitare University?,3
688,Do all courses at Sitare University require a laptop?,3
689,Are laptops needed for exams or projects at Sitare University?,3
690,Will students use their laptops in both offline and online classes?,0
691,Are there any financial aid options for students who cannot afford a laptop?,5
692,Does Sitare University offer any partnerships or discounts on laptops?,3
693,What happens if a student cannot buy a laptop before joining Sitare University?,3
694,Can students pay for a laptop in installments?,4
695,Does Sitare University provide technical support for student laptops?,3
696,Will Sitare University assist if a laptop needs repair or maintenance?,3
697,Are there any on-campus resources for students without a laptop temporarily?,0
698,What is Sitare University?,1
699,When and why was Sitare University established?,1
700,"Who founded Sitare University, and what is their background?",1
701,What is the mission of Sitare University?,1
702,What kind of students does Sitare University admit?,1
703,What are the admission criteria for Sitare University?,1
704,How does Sitare University support economically disadvantaged students?,3
705,What is the average family income of students at Sitare University?,1
706,What is the minimum JEE Mains percentile required for admission?,5
707,What is unique about the curriculum at Sitare University?,3
708,Why does Sitare University avoid teaching unnecessary subjects like thermodynamics?,3
709,How is the 4-year B.Tech program structured at Sitare University?,3
710,What is the focus of the final year at Sitare University?,1
711,Does Sitare University offer internships to its students?,6
712,Are the internships at Sitare University paid?,6
713,When do students at Sitare University start participating in internships?,6
714,How do internships at Sitare University prepare students for the industry?,6
715,What are the expectations for new faculty members at Sitare University?,3
716,What qualities does Sitare University look for in its faculty?,1
717,Is there any publication pressure for faculty at Sitare University?,3
718,Are faculty encouraged to pursue research at Sitare University?,3
719,What teaching methods are used at Sitare University?,3
720,Who mentors the teaching practices at Sitare University?,3
721,How does Sitare University ensure innovative and student-centered teaching?,3
722,What is the teaching load for faculty at Sitare University?,3
723,How does Sitare University support its faculty financially?,1
724,Are faculty members at Sitare University paid competitively?,1
725,Can faculty commercialize their research projects at Sitare University?,1
726,What kind of support does Sitare University provide for research commercialization?,1
727,What is the societal impact of Sitare University?,3
728,How does Sitare University transform students' lives and communities?,3
729,What opportunities do students gain through Sitare University?,3
730,Why does Sitare University emphasize communication skills?,3
731,How important are communication skills at Sitare University?,3
732,What role do communication skills play in personal and professional growth at Sitare University?,3
733,Why are communication skills essential for students at Sitare University?,3
734,What activities does Sitare University organize to improve communication skills?,3
735,Does Sitare University offer group discussions to help students improve their communication?,3
736,Are there workshops or role-playing activities at Sitare University for communication skills?,3
737,How do group discussions and public speaking help improve communication skills at Sitare University?,3
738,What kind of role-playing activities are organized by Sitare University for communication improvement?,3
739,What are the benefits of participating in communication skill activities at Sitare University?,3
740,How do communication skill activities help students at Sitare University?,3
741,How do activities like group discussions and role-playing boost creativity and teamwork?,2
742,What is the impact of these activities on students’ self-belief at Sitare University?,3
743,What communication skills are focused on at Sitare University?,3
744,Does Sitare University focus only on speaking and writing skills?,3
745,How does Sitare University help students improve listening and understanding emotions?,3
746,How does Sitare University encourage students to share ideas clearly?,3
747,Are the communication skill activities at Sitare University interactive and fun?,3
748,How does Sitare University encourage students to actively participate in communication skill activities?,3
749,Do students work together in communication skill activities at Sitare University?,3
750,How does Sitare University prepare students for real-life communication challenges?,3
751,Are communication skills taught in the context of professional environments at Sitare University?,3
752,Does Sitare University prepare students to communicate effectively in the workplace?,3
753,What happens if I don’t achieve a CGPA of 6.0 or higher at Sitare University?,5
754,Is there a CGPA requirement to maintain the Sitare Foundation Scholarship?,5
755,What is the CGPA threshold for continuing the Sitare Foundation Scholarship?,5
756,How does failing to maintain a CGPA of 6.0 affect my scholarship at Sitare University?,5
757,What happens if I fail to meet the CGPA requirement for the Sitare Foundation Scholarship?,5
758,How can I lose my Sitare Foundation Scholarship due to disciplinary reasons?,5
759,What happens if my disciplinary points drop to zero at Sitare University?,4
760,"What are disciplinary points, and how do they affect my Sitare Foundation Scholarship?",5
761,How many disciplinary points do I start with at Sitare University?,3
762,What is the consequence of having zero disciplinary points at Sitare University?,3
763,How can I avoid losing my Sitare Foundation Scholarship due to disciplinary issues?,5
764,How are disciplinary points deducted at Sitare University?,3
765,What happens if I fail to meet the CGPA requirement at Sitare University?,4
766,Will I be required to pay a fee if my CGPA is below 6.0?,5
767,How much do I need to pay if my CGPA falls below 6.0 at Sitare University?,5
768,Is there any fee that I have to pay if I fail to meet the CGPA or disciplinary points requirement?,4
769,What is the fee amount required to continue my studies if my CGPA is less than 6.0?,5
770,What is the code of conduct at Sitare University?,1
771,How important are disciplinary points at Sitare University?,3
772,What happens if I violate the code of conduct at Sitare University?,4
773,Can I be expelled for violating the code of conduct at Sitare University?,4
774,How are disciplinary points used to monitor behavior at Sitare University?,3
775,Will my enrollment in the degree program be affected if I lose the Sitare Foundation Scholarship?,5
776,Can I still continue my degree program if I lose the Sitare Foundation Scholarship?,5
777,"If I lose my scholarship, can I continue studying at SRMU?",5
778,What happens to my academic enrollment if I’m removed from the Sitare Foundation Scholarship?,5
779,What medical facilities are available at Sitare University?,1
780,Where can students access medical care on campus?,0
781,Is there a medical facility available for students at Sitare University?,1
782,Can I get medical treatment on campus if I fall sick?,4
783,Is there a health center or doctor on campus for student medical care?,0
784,What happens if a student gets sick at night?,4
785,How does the university handle medical emergencies at night?,4
786,What emergency medical services are available at night for students?,0
787,Is there a way to get medical help during the night in case of an emergency?,0
788,How are medical emergencies handled at Sitare University?,4
789,What if a student’s condition requires advanced treatment?,4
790,Where can I go if my medical condition requires more than basic care?,0
791,"If my sickness worsens, where can I get more advanced medical treatment?",0
792,Can I visit a hospital if I need advanced medical care?,0
793,What should I do if I need specialized treatment that is not available on campus?,4
794,How does the university arrange for students to go to the hospital?,4
795,Is there transport to the hospital available for students?,0
796,"If I need to visit the hospital, will the university provide transport?",0
797,How quickly can students be taken to the hospital in case of an emergency?,4
798,What arrangements are made for students needing to go to a nearby hospital?,4
799,Does Sitare University prioritize student health and well-being?,3
800,How does Sitare University ensure student health and safety?,3
801,How are students’ health needs addressed at Sitare University?,3
802,Is student health and well-being a top priority at Sitare University?,3
345,How many students from the first batch received internships in the first year?,6
346,How many students from the first batch received internships in the second year?,6
347,How many students from the second batch received internships in the first year?,6
348,What percentage of students from the first batch got internships in the first year?,6
349,What percentage of students from the first batch got internships in the second year?,6
350,What percentage of students from the second batch got internships in the first year?,6
351,What factors contributed to some students not qualifying for internships in the first or second year?,6
352,Are internships guaranteed for all students who meet the 6.5 CGPA criterion?,6
353,What types of internships were offered to the students who qualified?,6
354,Do students who miss out on internships in the first year get opportunities in subsequent years?,6
355,Are paid internships provided to all students who qualify?,6
356,What is the stipend range for these paid internships?,6
357,Why did only 20 out of 23 students from the first batch get internships in the first year?,6
358,How did the number of students receiving internships in the first batch change between the first and second year?,6
359,Why did 35 out of 41 students from the second batch qualify for internships?,6
360,What steps does Sitare University take to help students improve their CGPA and secure internships?,3
361,Is the internship success rate improving with each batch?,6
362,How does the internship performance of the first batch compare to the second batch?,6
363,What challenges did the students face in securing internships in the first year?,6
364,How does the internship success rate for the second batch compare to the first batch?,6
365,Is there a trend of increasing internship success rates across batches?,6
366,Are students in later batches receiving more support for securing internships?,6
367,What lessons has the university learned from the first batch to improve internship opportunities for later batches?,6
368,What support does Sitare University provide to students who fall below the 6.5 CGPA criterion?,3
369,Is there any additional support for students who miss internship opportunities in their first year?,6
370,Are students given preparation or counseling sessions to help them qualify for internships?,6
371,What is the university doing to ensure 100% internship placement in future batches?,6
482,Does Sitare University have its own campus?,1
483,Where do students of Sitare University live?,1
484,How far are the campus and hostel from each other?,0
485,Does Sitare University ensure all necessary facilities for students?,3
486,Where is the hostel located for Sitare University students?,1
487,Are the hostel facilities good?,0
488,What facilities are provided in the hostel?,0
489,Are the hostel rooms equipped with wifi?,0
490,How do students access wifi in hostel rooms?,0
491,Is electricity available 24/7 in the hostel?,0
492,Is wifi available on the campus?,0
493,Is wifi available in hostel rooms?,0
494,How do students get wifi access (ID and password)?,0
495,Can students use wifi in classrooms?,0
496,Is electricity provided in the hostel rooms?,0
497,What are the electricity facilities on the campus?,0
498,Are there power backups for electricity at the campus or hostel?,0
499,Is there a mess facility available for Sitare University students?,3
500,Where is the mess located?,0
501,What kind of food is served in the mess?,0
502,How many meals are provided daily?,0
503,What meals are included in the mess facility?,0
504,Is the food in the mess nutritious?,0
505,How often does the menu change in the mess?,0
506,Who updates the mess menu?,0
507,Are special dietary requirements accommodated in the mess?,0
508,Is the mess facility open on weekends and holidays?,0
803,Do I need coding skills before joining Sitare University?,3
804,Is coding knowledge mandatory before coming to Sitare University?,3
805,What kind of programming knowledge is required before joining Sitare University?,3
806,Can I learn programming before coming to Sitare University?,3
807,Should I learn Python before joining Sitare University?,3
808,What should I bring to Sitare University?,1
809,Is there a recommended list of items for students joining Sitare University?,3
810,Are there specific laptop requirements for Sitare University?,3
811,Do I need formal clothes for Sitare University?,3
812,What type of shoes are required at Sitare University?,1
813,Are bathing essentials mandatory to bring?,0
814,How many notebooks should I bring?,0
815,Can I buy essential items near Sitare University?,1
816,Is there a market close to Sitare University?,1
817,What kind of items can I buy from the nearby market?,0
818,What type of clothing should I bring to Sitare University?,3
819,Are casual clothes allowed at Sitare University?,3
820,How many pairs of formal clothes do I need to bring?,0
821,Can I buy formal clothes near Sitare University?,1
822,What is the importance of bringing a laptop to Sitare University?,3
823,Why is Python recommended to learn before joining Sitare University?,3
824,What should I do if I forget to bring an item to Sitare University?,4
825,What specifications should the laptop have?,0
826,Are there restrictions on clothing at Sitare University?,3
827,Can students manage without prior programming knowledge?,2
